hospital_id,ein,name,street_address,city,state,hospital_bed_count,urban_location_f,memb_counc_teach_hosps_f,medicare_provider_number,county,fiscal_yr,form_990_filed_part_grp_ret_f,form_990_num_fac_oper,tot_func_exp,tot_revenue,tot_comm_bnfts,chrty_care,unreim_medcd,comm_hlth_impr_svcs_comm_bnft_oper,bad_debt,mdcre_shrtfl,tot_comm_bnfts_tot_func_exp_pct,chrty_care_tot_func_exp_pct,unreim_medcd_tot_func_exp_pct,comm_hlth_impr_svcs_comm_bnft_oper_tot_func_exp_pct,bad_debt_tot_func_exp_pct,mdcre_shrtfl_tot_func_exp_pct,rat_pat_care_npat_care_comm_bnfts,chna_cond_w_mult_hosp_facilities_f,per_capita_inc,med_hsehld_inc,percent_ppl_pov_pct,percent_ppl_65_yrs_old_without_hlth_insr_pct,unemp_rate_16_yrs_older,st_impl_aca_medcd_exp_cvrg_adlts_w_incs_up_138pct_fpl_f,st_law_req_hosp_rpt_comm_bnfts_f
1,630307951,Mizell Memorial Hospital,702 Main Street,Opp,AL,99,N,N,10007,Covington County,2021,N,1,24548253,26350803,399634,390047,0,6459,3367623,1269448,1.6279529,1.5888992,0.0,0.0263114,13.7183815,5.1712356,40.68499009,N,37930,43544,17.1,12.5,3.0,N,N
2,630578923,St Vincents East,50 Medical Park Drive East,Birmingham,AL,362,Y,Y,10011,Jefferson County,2021,N,1,269655098,247421803,14530957,7786731,3709342,190918,2872255,-10480200,5.3887195,2.8876631,1.3755875,0.0708008,1.0651587,-3.8865202,3.787977728,Y,58424,57802,14.4,10.7,3.6,N,N
3,630312913,Shelby Baptist Medical Center,1000 First Street North,Alabaster,AL,252,Y,N,10016,Shelby County,2021,Y,5,6138054,18093135,6276227,2384449,2159588,221520,5301442,-1915820,102.251088,38.8469863,35.183594,3.6089614,86.3700775,-31.2121724,2.62329017,Y,59588,88444,7.0,8.7,2.1,N,N
4,630459034,Callahan Eye Foundation Hosp,1720 University Boulevard,Birmingham,AL,106,Y,Y,10018,Jefferson County,2012,N,1,7281976,7873057,848514,388457,591705,0,107877,-3659695,11.6522493,5.3344998,8.1256104,0.0,1.4814248,-50.2568945,-6.042334708,N,45622,43967,18.6,14.5,6.8,N,N
5,581973570,Cherokee Medical Center,400 Northwood Drive,Centre,AL,60,N,N,10022,Cherokee County,2021,Y,2,336272925,261011061,21995495,10698494,10424636,0,12612595,-30326601,6.5409651,3.1814913,3.1000521,0.0,3.7507019,-9.0184486,24.21363764,Y,37869,50388,14.7,13.0,2.5,N,N
6,636001820,Jackson Hospital And Clinic  Inc,1725 Pine Street,Montgomery,AL,344,Y,N,10024,Montgomery County,2021,N,1,309973114,308675312,23988001,8623088,15187772,0,14119504,-7227535,7.738736,2.7818825,4.8997062,0.0,4.5550737,-2.3316651,134.417554377,N,47776,49607,20.4,11.7,4.9,N,N
7,630288852,George H Lanier Memorial Hospital,4800 48th St,Valley,AL,115,N,N,10025,Chambers County,2013,N,1,24960173,10420113,1313016,105506,1229105,0,3946553,117635,5.2604443,0.4226973,4.9242647,0.0,15.8114008,0.4712908,2.535991823,N,29633,33883,22.5,16.8,7.3,N,N
8,475348597,Tanner Medical Center-East Alabama,1032 Main Street South,Wedowee,AL,15,N,N,10032,Randolph County,2018,N,1,13015011,8751774,1072704,1009218,0,2413,3710522,-8018,8.2420521,7.7542615,0.0,0.0185401,28.5095571,-0.0616057,15.896701635,N,32411,40546,19.7,13.1,4.0,N,N
9,630047680,Community Hospital Inc,805 Friendship Drive,Tallassee,AL,69,Y,N,10034,Elmore County,2021,N,1,20351606,18162746,1506717,139962,0,25217,1817348,-2677797,7.4034304,0.6877196,0.0,0.1239066,8.9297522,-13.1576692,0.1024046,N,47270,62524,11.5,8.9,2.7,N,N
10,631058174,Cullman Regional,1912 Alabama Highway 157,Cullman,AL,115,N,N,10035,Cullman County,2021,N,1,176582087,184887968,10728072,1803085,7605858,1070508,34918367,5077694,6.0754022,1.021103,4.3072647,0.6062381,19.7745805,2.875543,7.132693618,N,42659,51844,12.5,13.4,2.4,N,N
