hospital_id,hospital_org_id,ein,name,name_cr,street_address,city,state,zip_code,fips_state_and_county_code,hospital_bed_count,chrch_affl_f,urban_location_f,children_hospital_f,memb_counc_teach_hosps_f,medicare_provider_number,county,hospital_bed_size,updated_dt_x,hospital_data_id,fiscal_yr,data_ein,data_name,form_990_filed_part_grp_ret_f,form_990_num_fac_oper,form_990_name,form_990_address,form_990_city,form_990_state,form_990_zip,tot_func_exp,tot_revenue,tot_comm_bnfts,chrty_care,unreim_medcd,unreim_costs,comm_hlth_impr_svcs_comm_bnft_oper,hlth_prof_educ,subsd_hlth_svcs,rsrch,cash_inknd_contrib_comm_grps,comm_bldg,comm_bldg_actvs,comm_bldg_actvs_physimprvhse,comm_bldg_actvs_econdevlp,comm_bldg_actvs_cmntysuprt,comm_bldg_actvs_envrnimprv,comm_bldg_actvs_ldrdevlp,comm_bldg_actvs_cltnbldg,comm_bldg_actvs_htlhimprvadvcy,comm_bldg_actvs_wrkfrcdevlp,comm_bldg_actvs_other,comm_bldg_actvs_physimprvhse_pct,comm_bldg_actvs_econdevlp_pct,comm_bldg_actvs_cmntysuprt_pct,comm_bldg_actvs_envrnimprv_pct,comm_bldg_actvs_ldrdevlp_pct,comm_bldg_actvs_cltnbldg_pct,comm_bldg_actvs_htlhimprvadvcy_pct,comm_bldg_actvs_wrkfrcdevlp_pct,comm_bldg_actvs_other_pct,bad_debt,bad_debt_tot_func_exp_atrb_pat_elig_fncl_asst,mdcre_shrtfl,tot_comm_bnfts_tot_func_exp_pct,chrty_care_tot_func_exp_pct,unreim_medcd_tot_func_exp_pct,unreim_costs_tot_func_exp_pct,comm_hlth_impr_svcs_comm_bnft_oper_tot_func_exp_pct,hlth_prof_educ_tot_func_exp_pct,subsd_hlth_svcs_tot_func_exp_pct,rsrch_tot_func_exp_pct,cash_inknd_contrib_comm_grps_tot_func_exp_pct,hosp_rpt_comm_bldg_actvs_f,comm_bldg_tot_func_exp_pct,comm_bldg_actvs_tot_func_exp_pct,bad_debt_tot_func_exp_pct,bad_debt_tot_func_exp_atrb_pat_elig_fncl_asst_pct,mdcre_shrtfl_tot_func_exp_pct,rat_pat_care_npat_care_comm_bnfts,sole_comm_prov_f,written_fncl_asst_policy_f,used_fed_pov_gdlns_det_elig_free_disc_care_f,rpted_credit_agency_f,filed_lawsuit_f,placed_liens_resdnc_f,issued_body_attch_f,chna_cond_comm_hlth_needs_assmt_f,chna_defined_comm_served_f,chna_took_into_acct_input_ppl_rep_broad_intrst_comm_served_f,chna_cond_w_mult_hosp_facilities_f,chna_made_wide_avail_pub_f,hosp_adp_imp_stg_addr_hlth_needs_comm_f,hosp_exe_imp_stg_addr_hlth_needs_comm_f,hosp_prtcp_dev_commwide_comm_bnft_plan_f,per_capita_inc_qrt,per_capita_inc,med_hsehld_inc_qrt,med_hsehld_inc,percent_ppl_pov_qrt,percent_ppl_pov_pct,percent_ppl_65_yrs_old_without_hlth_insr_qrt,percent_ppl_65_yrs_old_without_hlth_insr_pct,unemp_rate_16_yrs_older_qrt,unemp_rate_16_yrs_older,st_impl_aca_medcd_exp_cvrg_adlts_w_incs_up_138pct_fpl_f,st_inc_elig_prnts_dep_chldrn_enrol_medcd_ltd_76pct_fpl_less_f,st_law_req_hosp_rpt_comm_bnfts_f,paper_return_f,netcommbldgexpns_total,numactpgm_physimprvhse,numactpgm_econdevlp,numactpgm_cmntysuprt,numactpgm_envrnimprv,numactpgm_ldrdevlp,numactpgm_cltnbldg,numactpgm_htlhimprvadvcy,numactpgm_wrkfrcdevlp,numactpgm_other,numactpgm_total,prsnssrvd_physimprvhse,prsnssrvd_econdevlp,prsnssrvd_cmntysuprt,prsnssrvd_envrnimprv,prsnssrvd_ldrdevlp,prsnssrvd_cltnbldg,prsnssrvd_htlhimprvadvcy,prsnssrvd_wrkfrcdevlp,prsnssrvd_other,prsnssrvd_total,ttlcommbldgexpns_physimprvhse,ttlcommbldgexpns_econdevlp,ttlcommbldgexpns_cmntysuprt,ttlcommbldgexpns_envrnimprv,ttlcommbldgexpns_ldrdevlp,ttlcommbldgexpns_cltnbldg,ttlcommbldgexpns_htlhimprvadvcy,ttlcommbldgexpns_wrkfrcdevlp,ttlcommbldgexpns_other,ttlcommbldgexpns_total,diroffsetrev_physimprvhse,diroffsetrev_econdevlp,diroffsetrev_cmntysuprt,diroffsetrev_envrnimprv,diroffsetrev_ldrdevlp,diroffsetrev_cltnbldg,diroffsetrev_htlhimprvadvcy,diroffsetrev_wrkfrcdevlp,diroffsetrev_other,diroffsetrev_total,pctttlexp_physimprvhse,pctttlexp_econdevlp,pctttlexp_cmntysuprt,pctttlexp_envrnimprv,pctttlexp_ldrdevlp,pctttlexp_cltnbldg,pctttlexp_htlhimprvadvcy,pctttlexp_wrkfrcdevlp,pctttlexp_other,pctttlexp_total,updated_dt_y
1,1,630307951,Mizell Memorial Hospital,Mizell Memorial Hospital,702 Main Street,Opp,AL,36462,1039,99,N,N,N,N,10007,Covington County,<100 beds,"November 20, 2023",12,2021,630307951,Mizell Memorial Hospital,N,1,Mizell Memorial Hospital Inc,P O Box 1010,Opp,AL,36467,24548253,26350803,399634,390047,0,0,6459,0,0,0,3128,47120,47120,0,0,1689,0,0,737,2350,42344,0,0.0,0.0,3.5844651,0.0,0.0,1.5640916,4.9872665,89.8641765,0.0,3367623,505143,1269448,1.6279529,1.5888992,0.0,0.0,0.0263114,0.0,0.0,0.0,0.0127422,Y,0.1919484,0.1919484,13.7183815,14.9999866,5.1712356,40.68499009,N,Y,Y,,,,,Y,Y,Y,N,Y,Y,,,1,37930,1,43544,4,17.1,3,12.5,1,3.0,N,Y,N,N,47120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,0,737,2350,42344,0,47120,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0017,0.0,0.0019,"November 20, 2023"
2,2,630578923,St Vincents East,St Vincents East,50 Medical Park Drive East,Birmingham,AL,35235,1073,362,N,Y,N,Y,10011,Jefferson County,>299 beds,"November 20, 2023",24,2021,630578923,St Vincents East,N,1,St Vincent's East,C/o Tax Department PO Box 45998,St Louis,MO,63145,269655098,247421803,14530957,7786731,3709342,0,190918,2466332,18952,105242,253440,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2872255,0,-10480200,5.3887195,2.8876631,1.3755875,0.0,0.0708008,0.9146246,0.0070282,0.0390283,0.0939867,N,0.0,0.0,1.0651587,0.0,-3.8865202,3.787977728,N,Y,Y,,,,,Y,Y,Y,Y,Y,Y,,,4,58424,3,57802,3,14.4,2,10.7,2,3.6,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"November 20, 2023"
3,3,630312913,Shelby Baptist Medical Center,Shelby Baptist Medical Center,1000 First Street North,Alabaster,AL,35007,1117,252,N,Y,N,N,10016,Shelby County,100-299 beds,"November 20, 2023",36,2021,630312913,Shelby Baptist Medical Center,Y,5,Baptist Health System Inc,1130 22nd Street S 3200,Birmingham,AL,35205,6138054,18093135,6276227,2384449,2159588,0,221520,1084184,0,0,426486,31990,31990,0,6547,25443,0,0,0,0,0,0,0.0,20.4657705,79.5342294,0.0,0.0,0.0,0.0,0.0,0.0,5301442,0,-1915820,102.251088,38.8469863,35.183594,0.0,3.6089614,17.663318,0.0,0.0,6.9482282,Y,0.5211749,0.5211749,86.3700775,0.0,-31.2121724,2.62329017,N,Y,Y,,,,,Y,Y,Y,Y,Y,Y,,,4,59588,4,88444,1,7.0,2,8.7,1,2.1,N,Y,N,N,31990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6547,25443,0,0,0,0,0,0,31990,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"November 20, 2023"
4,4,630459034,Callahan Eye Foundation Hosp,Callahan Eye Foundation Hosp,1720 University Boulevard,Birmingham,AL,35233,1073,106,N,Y,N,Y,10018,Jefferson County,100-299 beds,"November 20, 2023",39,2012,630459034,Callahan Eye Foundation Hosp,N,1,The Eye Foundation Inc,1720 University Boulevard,Birmingham,AL,35233,7281976,7873057,848514,388457,591705,36630,0,-168278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,107877,395843,-3659695,11.6522493,5.3344998,8.1256104,0.5030228,0.0,-2.3108837,0.0,0.0,0.0,,0.0,0.0,1.4814248,366.9391992,-50.2568945,-6.042334708,N,Y,Y,Y,Y,,,Y,Y,Y,N,Y,Y,,,4,45622,3,43967,3,18.6,2,14.5,2,6.8,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"November 20, 2023"
5,5,581973570,Cherokee Medical Center,Cherokee Medical Center,400 Northwood Drive,Centre,AL,35960,1019,60,N,N,N,N,10022,Cherokee County,<100 beds,"November 20, 2023",43,2021,581973570,Cherokee Medical Center,Y,2,Floyd Healthcare Management Inc,304 Turner Mccall Blvd,Rome,GA,30162,336272925,261011061,21995495,10698494,10424636,0,0,872365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12612595,6306298,-30326601,6.5409651,3.1814913,3.1000521,0.0,0.0,0.2594217,0.0,0.0,0.0,,0.0,0.0,3.7507019,50.0000039,-9.0184486,24.21363764,N,Y,Y,,,,,Y,Y,Y,Y,Y,Y,,,1,37869,2,50388,3,14.7,3,13.0,1,2.5,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"November 20, 2023"
6,6,636001820,Jackson Hospital And Clinic  Inc,Jackson Hospital And Clinic  Inc,1725 Pine Street,Montgomery,AL,36106,1101,344,N,Y,N,N,10024,Montgomery County,>299 beds,"November 20, 2023",55,2021,636001820,Jackson Hospital And Clinic  Inc,N,1,Jackson Hospital And Clinic Inc,1725 Pine Street 1200,Montgomery,AL,36106,309973114,308675312,23988001,8623088,15187772,0,0,0,177141,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,14119504,9460068,-7227535,7.738736,2.7818825,4.8997062,0.0,0.0,0.0,0.0571472,0.0,0.0,,0.0,0.0,4.5550737,67.0000022,-2.3316651,134.417554377,N,Y,Y,,,,,Y,Y,Y,N,Y,Y,,,3,47776,2,49607,4,20.4,3,11.7,3,4.9,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"November 20, 2023"
7,7,630288852,George H Lanier Memorial Hospital,George H Lanier Hospital,4800 48th St,Valley,AL,36854,1017,115,N,N,N,N,10025,Chambers County,100-299 beds,"November 20, 2023",59,2013,630288852,George H Lanier Memorial Hospital,N,1,Chattahoochee Valley Hospital Society,4800 48th Street,Valley,AL,36854,24960173,10420113,1313016,105506,1229105,-21595,0,0,0,0,0,107000,107000,0,0,0,0,0,0,107000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,3946553,0,117635,5.2604443,0.4226973,4.9242647,-0.0865178,0.0,0.0,0.0,0.0,0.0,Y,0.4286829,0.4286829,15.8114008,0.0,0.4712908,,N,Y,Y,,,,,Y,Y,Y,N,Y,,,,1,29633,1,33883,4,22.5,2,16.8,3,7.3,N,Y,N,N,107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107000,0,0,107000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0043,"November 20, 2023"
8,8,475348597,Tanner Medical Center-East Alabama,Tanner Medical Center-East Alabama,1032 Main Street South,Wedowee,AL,36278,1111,15,N,N,N,N,10032,Randolph County,<100 beds,"November 20, 2023",61,2018,475348597,Tanner Medical Center-East Alabama,N,1,Tanner Medical Center Alabama Inc,705 Dixie Street,Carrollton,GA,30117,13015011,8751774,1072704,1009218,0,0,2413,0,0,0,61073,2850,2850,0,2600,250,0,0,0,0,0,0,0.0,91.2280701,8.7719298,0.0,0.0,0.0,0.0,0.0,0.0,3710522,0,-8018,8.2420521,7.7542615,0.0,0.0,0.0185401,0.0,0.0,0.0,0.4692504,Y,0.0218977,0.0218977,28.5095571,0.0,-0.0616057,15.896701635,N,Y,Y,,,,,Y,Y,Y,N,Y,Y,,,1,32411,1,40546,4,19.7,3,13.1,3,4.0,N,Y,N,N,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,250,0,0,0,0,0,0,2850,0,0,0,0,0,0,0,0,0,0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,"November 20, 2023"
9,9,630047680,Community Hospital Inc,Community Hospital Inc,805 Friendship Drive,Tallassee,AL,36078,1051,69,N,Y,N,N,10034,Elmore County,<100 beds,"November 20, 2023",73,2021,630047680,Community Hospital Inc,N,1,Community Hospital Inc,805 Friendship Road,Tallassee,AL,36078,20351606,18162746,1506717,139962,0,0,25217,0,1341538,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1817348,454337,-2677797,7.4034304,0.6877196,0.0,0.0,0.1239066,0.0,6.5918041,0.0,0.0,,0.0,0.0,8.9297522,25.0,-13.1576692,0.1024046,N,Y,Y,,,,,Y,Y,Y,N,Y,Y,,,3,47270,3,62524,2,11.5,2,8.9,1,2.7,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"November 20, 2023"
10,10,631058174,Cullman Regional,Cullman Regional,1912 Alabama Highway 157,Cullman,AL,35056,1043,115,N,N,N,N,10035,Cullman County,100-299 beds,"November 20, 2023",85,2021,631058174,Cullman Regional,N,1,Cullman Regional Medical Center Inc,1912 Alabama Highway 157,Cullman,AL,35058,176582087,184887968,10728072,1803085,7605858,0,1070508,0,151653,0,96968,313,313,0,313,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34918367,0,5077694,6.0754022,1.021103,4.3072647,0.0,0.6062381,0.0,0.0858824,0.0,0.0549138,Y,0.0001772,0.0001772,19.7745805,0.0,2.875543,7.132693618,N,Y,Y,,,,,Y,Y,Y,N,Y,Y,,,2,42659,2,51844,2,12.5,3,13.4,1,2.4,N,Y,N,N,313,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,313,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"November 20, 2023"
