hospital_id,hospital_data_id,fiscal_yr,data_ein,data_name,form_990_filed_part_grp_ret_f,form_990_num_fac_oper,form_990_name,form_990_address,form_990_city,form_990_state,form_990_zip,tot_func_exp,tot_revenue,tot_comm_bnfts,chrty_care,unreim_medcd,unreim_costs,comm_hlth_impr_svcs_comm_bnft_oper,hlth_prof_educ,subsd_hlth_svcs,rsrch,cash_inknd_contrib_comm_grps,comm_bldg,comm_bldg_actvs,comm_bldg_actvs_physimprvhse,comm_bldg_actvs_econdevlp,comm_bldg_actvs_cmntysuprt,comm_bldg_actvs_envrnimprv,comm_bldg_actvs_ldrdevlp,comm_bldg_actvs_cltnbldg,comm_bldg_actvs_htlhimprvadvcy,comm_bldg_actvs_wrkfrcdevlp,comm_bldg_actvs_other,comm_bldg_actvs_physimprvhse_pct,comm_bldg_actvs_econdevlp_pct,comm_bldg_actvs_cmntysuprt_pct,comm_bldg_actvs_envrnimprv_pct,comm_bldg_actvs_ldrdevlp_pct,comm_bldg_actvs_cltnbldg_pct,comm_bldg_actvs_htlhimprvadvcy_pct,comm_bldg_actvs_wrkfrcdevlp_pct,comm_bldg_actvs_other_pct,bad_debt,bad_debt_tot_func_exp_atrb_pat_elig_fncl_asst,mdcre_shrtfl,tot_comm_bnfts_tot_func_exp_pct,chrty_care_tot_func_exp_pct,unreim_medcd_tot_func_exp_pct,unreim_costs_tot_func_exp_pct,comm_hlth_impr_svcs_comm_bnft_oper_tot_func_exp_pct,hlth_prof_educ_tot_func_exp_pct,subsd_hlth_svcs_tot_func_exp_pct,rsrch_tot_func_exp_pct,cash_inknd_contrib_comm_grps_tot_func_exp_pct,hosp_rpt_comm_bldg_actvs_f,comm_bldg_tot_func_exp_pct,comm_bldg_actvs_tot_func_exp_pct,bad_debt_tot_func_exp_pct,bad_debt_tot_func_exp_atrb_pat_elig_fncl_asst_pct,mdcre_shrtfl_tot_func_exp_pct,rat_pat_care_npat_care_comm_bnfts,sole_comm_prov_f,written_fncl_asst_policy_f,used_fed_pov_gdlns_det_elig_free_disc_care_f,rpted_credit_agency_f,filed_lawsuit_f,placed_liens_resdnc_f,issued_body_attch_f,chna_cond_comm_hlth_needs_assmt_f,chna_defined_comm_served_f,chna_took_into_acct_input_ppl_rep_broad_intrst_comm_served_f,chna_cond_w_mult_hosp_facilities_f,chna_made_wide_avail_pub_f,hosp_adp_imp_stg_addr_hlth_needs_comm_f,hosp_exe_imp_stg_addr_hlth_needs_comm_f,hosp_prtcp_dev_commwide_comm_bnft_plan_f,per_capita_inc_qrt,per_capita_inc,med_hsehld_inc_qrt,med_hsehld_inc,percent_ppl_pov_qrt,percent_ppl_pov_pct,percent_ppl_65_yrs_old_without_hlth_insr_qrt,percent_ppl_65_yrs_old_without_hlth_insr_pct,unemp_rate_16_yrs_older_qrt,unemp_rate_16_yrs_older,st_impl_aca_medcd_exp_cvrg_adlts_w_incs_up_138pct_fpl_f,st_inc_elig_prnts_dep_chldrn_enrol_medcd_ltd_76pct_fpl_less_f,st_law_req_hosp_rpt_comm_bnfts_f,paper_return_f,netcommbldgexpns_total,numactpgm_physimprvhse,numactpgm_econdevlp,numactpgm_cmntysuprt,numactpgm_envrnimprv,numactpgm_ldrdevlp,numactpgm_cltnbldg,numactpgm_htlhimprvadvcy,numactpgm_wrkfrcdevlp,numactpgm_other,numactpgm_total,prsnssrvd_physimprvhse,prsnssrvd_econdevlp,prsnssrvd_cmntysuprt,prsnssrvd_envrnimprv,prsnssrvd_ldrdevlp,prsnssrvd_cltnbldg,prsnssrvd_htlhimprvadvcy,prsnssrvd_wrkfrcdevlp,prsnssrvd_other,prsnssrvd_total,ttlcommbldgexpns_physimprvhse,ttlcommbldgexpns_econdevlp,ttlcommbldgexpns_cmntysuprt,ttlcommbldgexpns_envrnimprv,ttlcommbldgexpns_ldrdevlp,ttlcommbldgexpns_cltnbldg,ttlcommbldgexpns_htlhimprvadvcy,ttlcommbldgexpns_wrkfrcdevlp,ttlcommbldgexpns_other,ttlcommbldgexpns_total,diroffsetrev_physimprvhse,diroffsetrev_econdevlp,diroffsetrev_cmntysuprt,diroffsetrev_envrnimprv,diroffsetrev_ldrdevlp,diroffsetrev_cltnbldg,diroffsetrev_htlhimprvadvcy,diroffsetrev_wrkfrcdevlp,diroffsetrev_other,diroffsetrev_total,pctttlexp_physimprvhse,pctttlexp_econdevlp,pctttlexp_cmntysuprt,pctttlexp_envrnimprv,pctttlexp_ldrdevlp,pctttlexp_cltnbldg,pctttlexp_htlhimprvadvcy,pctttlexp_wrkfrcdevlp,pctttlexp_other,pctttlexp_total,updated_dt
1,12,2021,630307951,Mizell Memorial Hospital,N,1,Mizell Memorial Hospital Inc,P O Box 1010,Opp,AL,36467,24548253,26350803,399634,390047,0,0,6459,0,0,0,3128,47120,47120,0,0,1689,0,0,737,2350,42344,0,0.00000000000000000000,0.00000000000000000000,3.58446510000000000000,0.00000000000000000000,0.00000000000000000000,1.56409160000000000000,4.98726650000000000000,89.86417650000000000000,0.00000000000000000000,3367623,505143,1269448,1.62795290000000000000,1.58889920000000000000,0.00000000000000000000,0.00000000000000000000,0.02631140000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.01274220000000000000,Y,0.19194840000000000000,0.19194840000000000000,13.71838150000000000000,14.99998660000000000000,5.17123560000000000000,40.68499009000000000000,N,Y,Y,,,,,Y,Y,Y,N,Y,Y,,,1,37930,1,43544,4,17.100,3,12.500,1,3.000,N,Y,N,N,47120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,0,737,2350,42344,0,47120,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00010000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00010000000000000000,0.00170000000000000000,0.00000000000000000000,0.00190000000000000000,"November 20, 2023"
2,24,2021,630578923,St Vincents East,N,1,St Vincent's East,C/o Tax Department PO Box 45998,St Louis,MO,63145,269655098,247421803,14530957,7786731,3709342,0,190918,2466332,18952,105242,253440,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2872255,0,-10480200,5.38871950000000000000,2.88766310000000000000,1.37558750000000000000,0.00000000000000000000,0.07080080000000000000,0.91462460000000000000,0.00702820000000000000,0.03902830000000000000,0.09398670000000000000,N,0.00000000000000000000,0.00000000000000000000,1.06515870000000000000,0.00000000000000000000,-3.88652020000000000000,3.78797772800000000000,N,Y,Y,,,,,Y,Y,Y,Y,Y,Y,,,4,58424,3,57802,3,14.400,2,10.700,2,3.600,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,"November 20, 2023"
3,36,2021,630312913,Shelby Baptist Medical Center,Y,5,Baptist Health System Inc,1130 22nd Street S 3200,Birmingham,AL,35205,6138054,18093135,6276227,2384449,2159588,0,221520,1084184,0,0,426486,31990,31990,0,6547,25443,0,0,0,0,0,0,0.00000000000000000000,20.46577050000000000000,79.53422940000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,5301442,0,-1915820,102.25108800000000000000,38.84698630000000000000,35.18359400000000000000,0.00000000000000000000,3.60896140000000000000,17.66331800000000000000,0.00000000000000000000,0.00000000000000000000,6.94822820000000000000,Y,0.52117490000000000000,0.52117490000000000000,86.37007750000000000000,0.00000000000000000000,-31.21217240000000000000,2.62329017000000000000,N,Y,Y,,,,,Y,Y,Y,Y,Y,Y,,,4,59588,4,88444,1,7.000,2,8.700,1,2.100,N,Y,N,N,31990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6547,25443,0,0,0,0,0,0,31990,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,"November 20, 2023"
4,39,2012,630459034,Callahan Eye Foundation Hosp,N,1,The Eye Foundation Inc,1720 University Boulevard,Birmingham,AL,35233,7281976,7873057,848514,388457,591705,36630,0,-168278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,107877,395843,-3659695,11.65224930000000000000,5.33449980000000000000,8.12561040000000000000,0.50302280000000000000,0.00000000000000000000,-2.31088370000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,,0.00000000000000000000,0.00000000000000000000,1.48142480000000000000,366.93919920000000000000,-50.25689450000000000000,-6.04233470800000000000,N,Y,Y,Y,Y,,,Y,Y,Y,N,Y,Y,,,4,45622,3,43967,3,18.600,2,14.500,2,6.800,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,"November 20, 2023"
5,43,2021,581973570,Cherokee Medical Center,Y,2,Floyd Healthcare Management Inc,304 Turner Mccall Blvd,Rome,GA,30162,336272925,261011061,21995495,10698494,10424636,0,0,872365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12612595,6306298,-30326601,6.54096510000000000000,3.18149130000000000000,3.10005210000000000000,0.00000000000000000000,0.00000000000000000000,0.25942170000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,,0.00000000000000000000,0.00000000000000000000,3.75070190000000000000,50.00000390000000000000,-9.01844860000000000000,24.21363764000000000000,N,Y,Y,,,,,Y,Y,Y,Y,Y,Y,,,1,37869,2,50388,3,14.700,3,13.000,1,2.500,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,"November 20, 2023"
6,55,2021,636001820,Jackson Hospital And Clinic  Inc,N,1,Jackson Hospital And Clinic Inc,1725 Pine Street 1200,Montgomery,AL,36106,309973114,308675312,23988001,8623088,15187772,0,0,0,177141,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,14119504,9460068,-7227535,7.73873600000000000000,2.78188250000000000000,4.89970620000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.05714720000000000000,0.00000000000000000000,0.00000000000000000000,,0.00000000000000000000,0.00000000000000000000,4.55507370000000000000,67.00000220000000000000,-2.33166510000000000000,134.41755437700000000000,N,Y,Y,,,,,Y,Y,Y,N,Y,Y,,,3,47776,2,49607,4,20.400,3,11.700,3,4.900,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,"November 20, 2023"
7,59,2013,630288852,George H Lanier Memorial Hospital,N,1,Chattahoochee Valley Hospital Society,4800 48th Street,Valley,AL,36854,24960173,10420113,1313016,105506,1229105,-21595,0,0,0,0,0,107000,107000,0,0,0,0,0,0,107000,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,100.00000000000000000000,0.00000000000000000000,0.00000000000000000000,3946553,0,117635,5.26044430000000000000,0.42269730000000000000,4.92426470000000000000,-0.08651780000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,Y,0.42868290000000000000,0.42868290000000000000,15.81140080000000000000,0.00000000000000000000,0.47129080000000000000,,N,Y,Y,,,,,Y,Y,Y,N,Y,,,,1,29633,1,33883,4,22.500,2,16.800,3,7.300,N,Y,N,N,107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107000,0,0,107000,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00430000000000000000,0.00000000000000000000,0.00000000000000000000,0.00430000000000000000,"November 20, 2023"
8,61,2018,475348597,Tanner Medical Center-East Alabama,N,1,Tanner Medical Center Alabama Inc,705 Dixie Street,Carrollton,GA,30117,13015011,8751774,1072704,1009218,0,0,2413,0,0,0,61073,2850,2850,0,2600,250,0,0,0,0,0,0,0.00000000000000000000,91.22807010000000000000,8.77192980000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,3710522,0,-8018,8.24205210000000000000,7.75426150000000000000,0.00000000000000000000,0.00000000000000000000,0.01854010000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.46925040000000000000,Y,0.02189770000000000000,0.02189770000000000000,28.50955710000000000000,0.00000000000000000000,-0.06160570000000000000,15.89670163500000000000,N,Y,Y,,,,,Y,Y,Y,N,Y,Y,,,1,32411,1,40546,4,19.700,3,13.100,3,4.000,N,Y,N,N,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,250,0,0,0,0,0,0,2850,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00020000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00020000000000000000,"November 20, 2023"
9,73,2021,630047680,Community Hospital Inc,N,1,Community Hospital Inc,805 Friendship Road,Tallassee,AL,36078,20351606,18162746,1506717,139962,0,0,25217,0,1341538,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1817348,454337,-2677797,7.40343040000000000000,0.68771960000000000000,0.00000000000000000000,0.00000000000000000000,0.12390660000000000000,0.00000000000000000000,6.59180410000000000000,0.00000000000000000000,0.00000000000000000000,,0.00000000000000000000,0.00000000000000000000,8.92975220000000000000,25.00000000000000000000,-13.15766920000000000000,0.10240460000000000000,N,Y,Y,,,,,Y,Y,Y,N,Y,Y,,,3,47270,3,62524,2,11.500,2,8.900,1,2.700,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,"November 20, 2023"
10,85,2021,631058174,Cullman Regional,N,1,Cullman Regional Medical Center Inc,1912 Alabama Highway 157,Cullman,AL,35058,176582087,184887968,10728072,1803085,7605858,0,1070508,0,151653,0,96968,313,313,0,313,0,0,0,0,0,0,0,0.00000000000000000000,100.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,34918367,0,5077694,6.07540220000000000000,1.02110300000000000000,4.30726470000000000000,0.00000000000000000000,0.60623810000000000000,0.00000000000000000000,0.08588240000000000000,0.00000000000000000000,0.05491380000000000000,Y,0.00017720000000000000,0.00017720000000000000,19.77458050000000000000,0.00000000000000000000,2.87554300000000000000,7.13269361800000000000,N,Y,Y,,,,,Y,Y,Y,N,Y,Y,,,2,42659,2,51844,2,12.500,3,13.400,1,2.400,N,Y,N,N,313,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,313,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,"November 20, 2023"
